15938,,,585,Phlegon Publius Aelius,,,,15938,,
15859,,,1323,Dionysius 01,,,,15859,,
15846,,,613,Demetrius,,,,15846,,
15632,,,1584,PHERECYDES,,,,15632,,
15340,,,317,Acta Joannis,,,,15340,,
15049,,,528,Aetius,,,,15049,,
15015,,,4003,MARCIANUS,,,,15015,,
14995,,,1210,AUTOLYCUS,,,,14995,,
14938,,,693,ALBINUS,,,,14938,,
14825,,,1414,HERACLITUS,,,,14825,,
14798,,,34,LYCURGUS,,,,14798,,
14656,,,716,EROTIANUS,,,,14656,,
14586,,,402,ALEXIS,,,,14586,,
14558,,,58,Aeneas,,,,14558,,
14517,,,609,Tryphon 03,,,,14517,,
14362,,,538,HECATAEUS,,,,14362,,
14153,,,410,ANTIPHANES,,,,14153,,
13583,,,24,OPPIANUS,,,,13583,,
13573,,,1183,Aristeae epistula,,,,13573,,
13358,,,713,ANAXAGORAS,,,,13358,,
13303,,,1477,Manetho 02,,,,13303,,
12959,,,1408,HERACLIDES,,,,12959,,
12948,,,560,Longinus 02,,,,12948,,
12900,,,1118,Dioscorides Pedanius,,,,12900,,
12759,,,643,ANONYMUS LONDINENSIS,,,,12759,,
12629,,,648,ONASANDER,,,,12629,,
12578,,,654,Cornutus Lucius Annaeus,,,,12578,,
12564,,,1489,MEGASTHENES,,,,12564,,
12525,,,2133,ACHILLES TATIUS,,,,12525,,
12505,,,660,Apollonius Med. 03,,,,12505,,
12369,,,558,Hellenica,,,,12369,,
12330,,,1128,Anonymi commentarius in Platonis Theaetetum,,,,12330,,
12261,,,222,Eratosthenes,,,,12261,,
12104,,,22,NICANDER,,,,12104,,
12058,,,2542,Fabius Pictor,,,,12058,,
11785,,,1187,ARISTOBULUS,,,,11785,,
11684,,,1881,Dionysius 50,,,,11684,,
11455,,,1496,MEMNON,,,,11455,,
11327,,,1692,SPEUSIPPUS,,,,11327,,
11291,,,1320,Diogenes Phil. 03,,,,11291,,
11045,,,1402,HEPHAESTION,,,,11045,,
10934,,,614,Babrius,,,,10934,,
10913,,,546,AELIANUS,,,,10913,,
10882,,,624,DEMETRIUS,,,,10882,,
10830,,,1463,Liber Enoch,,,,10830,,
10780,,,1766,TATIANUS,,,,10780,,
10661,,,65,SCYLAX,,,,10661,,
10585,,,651,ANTONINUS LIBERALIS,,,,10585,,
10562,,,1409,HERACLIDES PONTICUS,,,,10562,,
10512,,,1542,NUMENIUS,,,,10512,,
10499,,,1270,CLEARCHUS,,,,10499,,
10434,,,1269,CLEANTHES,,,,10434,,
10422,,,1701,Testamentum Abrahae,,,,10422,,
10420,,,383,ALCAEUS,,,,10420,,
10199,,,2,THEOGNIS,,,,10199,,
10118,,,593,GORGIAS,,,,10118,,
9890,,,388,Acta Pauli,,,,9890,,
9626,,,671,PHILUMENUS,,,,9626,,
9605,,,748,SEVERUS Iatrosophista,,,,9605,,
9458,,,1429,HIEROCLES,,,,9458,,
9428,,,534,CALLISTHENES,,,,9428,,
9293,,,461,EUPOLIS,,,,9293,,
